URL,GitHub Stars,GitHub Watchers,GitHub Forks
https://github.com/Neargye/magic_enum/,6023,67,544
https://github.com/facontidavide/plotjuggler/,5832,92,779
https://github.com/ros-planning/navigation2/,4156,64,1798
https://github.com/introlab/rtabmap/,3727,98,912
https://github.com/borglab/gtsam/,3382,60,921
https://github.com/stack-of-tasks/pinocchio/,3265,66,528
https://github.com/ANYbotics/grid_map/,3113,104,864
https://github.com/stevenlovegrove/pangolin/,2714,59,908
https://github.com/SteveMacenski/slam_toolbox/,2434,38,671
https://github.com/mavlink/mavlink/,2240,129,2168
https://github.com/AprilRobotics/apriltag/,2228,49,650
https://github.com/eclipse-iceoryx/iceoryx/,2055,65,469
https://github.com/ros-planning/moveit/,2027,70,983
https://github.com/ompl/ompl/,2014,39,685
https://github.com/ROBOTIS-GIT/turtlebot3/,1934,65,1136
https://github.com/cra-ros-pkg/robot_localization/,1862,53,1009
https://github.com/norlab-ulaval/libpointmatcher/,1801,78,568
https://github.com/introlab/rtabmap_ros/,1408,32,645
https://github.com/eclipse-cyclonedds/cyclonedds/,1245,53,451
https://github.com/pantor/ruckig/,1192,34,243
https://github.com/RobotWebTools/rosbridge_suite/,1189,40,580
https://github.com/mavlink/mavros/,1153,50,1088
https://github.com/CCNYRoboticsLab/imu_tools/,1098,33,476
https://github.com/luxonis/depthai/,1059,39,252
https://github.com/eclipse-ecal/ecal/,984,33,209
https://github.com/ros-perception/image_pipeline/,940,40,778
https://github.com/fzi-forschungszentrum-informatik/lanelet2/,938,32,355
https://github.com/ros/ros_tutorials/,919,46,577
https://github.com/ros2/examples/,918,43,356
https://github.com/MOLAorg/mola/,894,28,130
https://github.com/hungpham2511/toppra/,865,26,200
https://github.com/ros-controls/ros2_control/,862,26,432
https://github.com/locusrobotics/fuse/,859,52,136
https://github.com/SteveMacenski/spatio_temporal_voxel_layer/,818,27,224
https://github.com/PickNikRobotics/rviz_visual_tools/,810,27,248
https://github.com/Fields2Cover/fields2cover/,792,21,179
https://github.com/ros2/rclcpp/,740,50,527
https://github.com/ros-controls/ros2_controllers/,732,23,481
https://github.com/ros-drivers/velodyne/,713,44,685
https://github.com/ros-drivers/usb_cam/,699,30,686
https://github.com/nobleo/rviz_satellite/,658,18,265
https://github.com/ros-perception/vision_opencv/,657,21,641
https://github.com/ros2/demos/,632,33,357
https://github.com/ROBOTIS-GIT/open_manipulator/,612,28,210
https://github.com/ros2/ros1_bridge/,610,25,355
https://github.com/splintered-reality/py_trees/,587,18,184
https://github.com/pal-robotics/aruco_ros/,587,13,341
https://github.com/humanoid-path-planner/hpp-fcl/,577,20,140
https://github.com/ros-perception/pointcloud_to_laserscan/,576,10,370
https://github.com/Simple-Robotics/proxsuite/,553,14,73
https://github.com/cyberbotics/webots_ros2/,527,28,184
https://github.com/KumarRobotics/ublox/,526,60,438
https://github.com/facontidavide/cloudini/,524,7,32
https://github.com/open-rmf/rmf_demos/,505,16,147
https://github.com/gazebosim/ros_gz/,503,16,218
https://github.com/PRBonn/rko_lio/,492,13,45
https://github.com/ROBOTIS-GIT/turtlebot3_simulations/,490,18,538
https://github.com/ethz-asl/libnabo/,481,36,155
https://github.com/swri-robotics/mapviz/,478,19,159
https://github.com/PlanSys2/ros2_planning_system/,476,20,112
https://github.com/ros-perception/perception_pcl/,470,22,371
https://github.com/aws-robotics/aws-robomaker-small-warehouse-world/,468,20,125
https://github.com/mikeferguson/robot_calibration/,466,17,126
https://github.com/ros2/rmw_zenoh/,456,43,87
https://github.com/ros2/rviz/,447,26,287
https://github.com/ros2/rclpy/,443,24,279
https://github.com/OctoMap/octomap_mapping/,430,16,307
https://github.com/ros2/rosbag2/,404,32,308
https://github.com/MRPT/mvsim/,399,9,56
https://github.com/RobotWebTools/web_video_server/,378,27,214
https://github.com/ros-industrial/ros_canopen/,372,26,280
https://github.com/PickNikRobotics/generate_parameter_library/,360,14,72
https://github.com/robosoft-ai/SMACC2/,352,11,49
https://github.com/ros2/common_interfaces/,350,29,150
https://github.com/luxonis/depthai-ros/,342,16,243
https://github.com/christianrauch/apriltag_ros/,327,3,156
https://github.com/stack-of-tasks/tsid/,317,13,96
https://github.com/fujitatomoya/ros2ai/,317,3,23
https://github.com/Ekumen-OS/beluga/,315,14,33
https://github.com/open-planning/roboplan/,304,11,36
https://github.com/ros-perception/depthimage_to_laserscan/,295,16,188
https://github.com/ros/urdf_tutorial/,291,17,270
https://github.com/PickNikRobotics/data_tamer/,284,20,30
https://github.com/ros-drivers/nmea_navsat_driver/,282,13,300
https://github.com/ika-rwth-aachen/mqtt_client/,278,9,77
https://github.com/dfki-ric/better_launch/,271,6,23
https://github.com/ros-drivers/joystick_drivers/,269,16,326
https://github.com/DFKI-NI/mir_robot/,267,16,173
https://github.com/moveit/moveit_task_constructor/,263,29,181
https://github.com/ros-industrial/ros2_canopen/,259,14,124
https://github.com/hbanzhaf/steering_functions/,255,8,107
https://github.com/uleroboticsgroup/yasmin/,251,7,48
https://github.com/ros2/ros2cli/,246,25,214
https://github.com/ros2/ros2_tracing/,244,22,71
https://github.com/chapulina/dolly/,242,5,63
https://github.com/ros-controls/gz_ros2_control/,240,14,143
https://github.com/pal-robotics/backward_ros/,240,9,34
https://github.com/DFKI-NI/rospy_message_converter/,235,6,101
https://github.com/ros-teleop/teleop_tools/,228,7,161
https://github.com/ros-perception/laser_filters/,225,12,222
https://github.com/NVIDIA-ISAAC-ROS/greenwave_monitor/,221,3,16
https://github.com/splintered-reality/py_trees_ros/,216,6,46
https://github.com/mrpt-ros-pkg/mrpt_navigation/,213,12,102
https://github.com/Jannkar/turtle_nest/,209,4,20
https://github.com/stack-of-tasks/eigenpy/,206,16,50
https://github.com/ros2/cartographer_ros/,202,12,94
https://github.com/ros-drivers/flir_camera_driver/,198,10,181
https://github.com/ouster-lidar/ouster-ros/,196,7,230
https://github.com/ros2/rmw_fastrtps/,194,40,142
https://github.com/UniversalRobots/ur_client_library/,194,13,134
https://github.com/ros/executive_smach/,186,17,150
https://github.com/MOLAorg/mp2p_icp/,186,14,32
https://github.com/eProsima/fastcdr/,183,17,120
https://github.com/ros-controls/realtime_tools/,181,17,94
https://github.com/ros-perception/vision_msgs/,181,6,85
https://github.com/autowarefoundation/ros2_socketcan/,179,11,97
https://github.com/swri-robotics/novatel_gps_driver/,176,13,137
https://github.com/ros-controls/control_toolbox/,173,19,121
https://github.com/ros-controls/mujoco_ros2_control/,176,6,32
https://github.com/SICKAG/sick_scan_xd/,170,14,120
https://github.com/ros-perception/perception_open3d/,170,10,35
https://github.com/ros2/rmw_cyclonedds/,169,33,114
https://github.com/ros-planning/moveit_visual_tools/,169,21,113
https://github.com/ros-drivers/gscam/,166,15,194
https://github.com/ros-perception/laser_geometry/,163,15,119
https://github.com/PickNikRobotics/ros2_robotiq_gripper/,161,15,118
https://github.com/open-rmf/rmf_traffic_editor/,160,32,76
https://github.com/christianrauch/camera_ros/,159,5,72
https://github.com/ros2/rcl/,157,32,193
https://github.com/ros2/launch/,154,23,166
https://github.com/dynamixel-community/dynamixel_hardware/,153,5,79
https://github.com/ros/diagnostics/,151,16,202
https://github.com/ros2/geometry2/,147,26,241
https://github.com/ros2/rclc/,146,30,56
https://github.com/ros-perception/image_common/,145,19,249
https://github.com/ros2/cartographer/,139,13,46
https://github.com/PX4/px4_msgs/,140,11,219
https://github.com/roboception/rc_genicam_api/,135,15,45
https://github.com/ROBOTIS-GIT/ai_worker/,134,10,36
https://github.com/LORD-MicroStrain/microstrain_inertial/,132,8,99
https://github.com/Beam-and-Spyrosoft/rtest/,131,2,19
https://github.com/ros-perception/imu_pipeline/,130,9,50
https://github.com/ros-tooling/topic_tools/,130,5,49
https://github.com/flynneva/bno055/,128,6,65
https://github.com/ros-simulation/simulation_interfaces/,127,21,14
https://github.com/ros-misc-utilities/ffmpeg_image_transport/,127,2,36
https://github.com/septentrio-gnss/septentrio_gnss_driver/,124,7,61
https://github.com/ros/urdfdom/,123,23,151
https://github.com/ROBOTIS-GIT/dynamixel-workbench/,122,18,197
https://github.com/ament/ament_cmake/,122,18,144
https://github.com/dtrugman/pfs/,122,6,42
https://github.com/novatel/novatel_oem7_driver/,120,9,68
https://github.com/FraunhoferIOSB/multisensor_calibration/,120,8,12
https://github.com/ros-drivers/transport_drivers/,119,12,80
https://github.com/ros/robot_state_publisher/,118,17,182
https://github.com/ros/xacro/,116,15,107
https://github.com/ros-drivers/urg_node/,116,14,156
https://github.com/ros2/rmw/,113,33,80
https://github.com/ros2/sros2/,112,36,54
https://github.com/ros2/message_filters/,110,21,90
https://github.com/open-rmf/rmf_ros2/,110,15,93
https://github.com/OctoMap/octomap_rviz_plugins/,108,9,72
https://github.com/LORD-MicroStrain/ntrip_client/,108,7,87
https://github.com/MOLAorg/mola_lidar_odometry/,107,3,22
https://github.com/ros-industrial/reach/,106,10,28
https://github.com/ROBOTIS-GIT/turtlebot3_autorace/,106,18,57
https://github.com/ros2/rosidl/,104,25,157
https://github.com/OctoMap/octomap_ros/,103,7,51
https://github.com/swri-robotics/gps_umd/,103,5,100
https://github.com/ros-perception/point_cloud_transport/,103,4,17
https://github.com/fujitatomoya/rcl_logging_syslog/,103,3,1
https://github.com/ros-planning/moveit_resources/,101,20,141
https://github.com/EasyNavigation/NavMap/,101,1,10
https://github.com/teamspatzenhirn/rig_reconfigure/,100,4,9
https://github.com/oKermorgant/simple_launch/,98,7,9
https://github.com/PickNikRobotics/pick_ik/,95,12,25
https://github.com/facontidavide/rosx_introspection/,95,5,27
https://github.com/ROBOTIS-GIT/turtlebot3_manipulation/,89,12,50
https://github.com/fmrico/yaets/,89,3,3
https://github.com/stonier/ecl_core/,87,11,77
https://github.com/PickNikRobotics/rsl/,85,12,23
https://github.com/ros2/teleop_twist_joy/,85,10,91
https://github.com/ros2/example_interfaces/,83,24,32
https://github.com/ros/kdl_parser/,83,7,80
https://github.com/ros2/domain_bridge/,82,19,22
https://github.com/UniversalRobots/ur_simulation_gz/,81,8,39
https://github.com/fmrico/cascade_lifecycle/,81,4,13
https://github.com/ros2/launch_ros/,79,19,98
https://github.com/ROBOTIS-GIT/turtlebot3_msgs/,79,11,146
https://github.com/ros-geographic-info/geographic_info/,78,13,67
https://github.com/teamspatzenhirn/rviz_2d_overlay_plugins/,77,6,21
https://github.com/IMRCLab/motion_capture_tracking/,77,1,40
https://github.com/ros-perception/image_transport_plugins/,76,9,137
https://github.com/ika-rwth-aachen/etsi_its_messages/,76,9,26
https://github.com/hatchbed/log_view/,76,4,11
https://github.com/aussierobots/ublox_dgnss/,75,4,51
https://github.com/robotraconteur/robotraconteur/,75,3,11
https://github.com/ros2/realtime_support/,74,30,34
https://github.com/ros-controls/control_msgs/,74,17,81
https://github.com/ros-visualization/rqt/,74,16,76
https://github.com/ros-teleop/twist_mux/,74,5,123
https://github.com/ros2/rcutils/,73,23,119
https://github.com/4am-robotics/cob_common/,68,15,137
https://github.com/ros-drivers/openni2_camera/,68,14,101
https://github.com/ros/angles/,67,12,47
https://github.com/pal-robotics/pal_statistics/,67,10,15
https://github.com/ros/pluginlib/,65,16,104
https://github.com/ApexAI/performance_test/,64,17,42
https://github.com/rst-tu-dortmund/control_box_rst/,64,5,24
https://github.com/StefanFabian/qml_ros2_plugin/,64,5,12
https://github.com/Tanneguydv/tf_tree_terminal/,64,2,3
https://github.com/ros-drivers/zbar_ros/,63,45,60
https://github.com/ros2/rmw_connextdds/,63,25,37
https://github.com/mikeferguson/simple_grasping/,63,7,37
https://github.com/ros-event-camera/metavision_driver/,62,4,18
https://github.com/ros-planning/geometric_shapes/,60,21,95
https://github.com/ros2/rcl_interfaces/,59,24,58
https://github.com/ros/joint_state_publisher/,59,6,94
https://github.com/DLu/tf_transformations/,59,1,18
https://github.com/ros-planning/moveit_msgs/,58,24,143
https://github.com/rt-net/raspimouse2/,58,4,12
https://github.com/swri-robotics/swri_console/,57,17,23
https://github.com/LOEWE-emergenCITY/ros_babel_fish/,57,3,13
https://github.com/rt-net/rt_usb_9axisimu_driver/,56,3,24
https://github.com/stack-of-tasks/eiquadprog/,54,9,29
https://github.com/swri-robotics/marti_common/,52,11,72
https://github.com/ament/ament_lint/,50,17,128
https://github.com/ros/sdformat_urdf/,50,16,19
https://github.com/ros-drivers/phidgets_drivers/,50,5,62
https://github.com/SteveMacenski/nonpersistent_voxel_layer/,50,4,18
https://github.com/boschresearch/fmi_adapter/,49,11,14
https://github.com/astuff/astuff_sensor_msgs/,49,5,43
https://github.com/ros2/teleop_twist_keyboard/,48,11,53
https://github.com/apl-ocean-engineering/marine_msgs/,48,9,27
https://github.com/ros2/rosbag2_bag_v2/,47,12,6
https://github.com/splintered-reality/py_trees_ros_viewer/,47,7,12
https://github.com/ros-planning/navigation_msgs/,46,18,51
https://github.com/ros-visualization/rqt_common_plugins/,46,16,133
https://github.com/micro-ROS/system_modes/,46,11,13
https://github.com/allenh1/rplidar_ros/,46,5,45
https://github.com/brow1633/network_bridge/,46,1,11
https://github.com/ros/class_loader/,44,12,96
https://github.com/ros/filters/,44,12,55
https://github.com/ros-drivers/ackermann_msgs/,44,7,37
https://github.com/ros-controls/kinematics_interface/,44,4,24
https://github.com/KIT-MRT/mrt_cmake_modules/,43,4,28
https://github.com/ros/bond_core/,42,13,72
https://github.com/nobleo/ros2_fmt_logger/,42,1,0
https://github.com/ros-visualization/interactive_markers/,41,7,66
https://github.com/FraunhoferIOSB/camera_aravis2/,41,6,12
https://github.com/ros/urdf_launch/,41,3,13
https://github.com/gstavrinos/doom_ros/,41,1,3
https://github.com/autowarefoundation/autoware_msgs/,40,15,69
https://github.com/ros-visualization/qt_gui_core/,40,9,86
https://github.com/ros-tooling/libstatistics_collector/,39,11,24
https://github.com/octomap/octomap_msgs/,39,5,54
https://github.com/osrf/osrf_testing_tools_cpp/,38,11,34
https://github.com/ros-drivers/nmea_msgs/,38,9,28
https://github.com/automatika-robotics/kompass/,38,4,0
https://github.com/ajtudela/laser_segmentation/,38,3,5
https://github.com/ros-planning/warehouse_ros/,37,23,44
https://github.com/ros2/rcpputils/,36,23,56
https://github.com/open-rmf/rmf_traffic/,36,14,36
https://github.com/ros/geometry_tutorials/,36,12,54
https://github.com/iRobotEducation/irobot_create_msgs/,36,11,12
https://github.com/SICKAG/sick_safetyscanners2/,36,8,47
https://github.com/JafarAbdi/feetech_ros2_driver/,36,4,21
https://github.com/eProsima/foonathan_memory_vendor/,35,11,52
https://github.com/alvinsunyixiao/vrpn_mocap/,35,1,13
https://github.com/ros-visualization/python_qt_binding/,34,12,62
https://github.com/ros-visualization/rqt_bag/,32,14,58
https://github.com/pal-robotics/play_motion2/,31,7,12
https://github.com/ros-visualization/rqt_graph/,30,16,33
https://github.com/ros2/rcl_logging/,29,20,41
https://github.com/ROBOTIS-GIT/dynamixel_hardware_interface/,29,7,24
https://github.com/ros-tracing/tracetools_analysis/,29,4,16
https://github.com/ros-industrial/stomp/,29,4,8
https://github.com/Tonywelte/rosidlcpp/,29,4,1
https://github.com/fictionlab/aruco_opencv/,29,2,28
https://github.com/ros-visualization/rqt_image_view/,28,14,65
https://github.com/RobotWebTools/tf2_web_republisher/,27,15,41
https://github.com/ros-perception/radar_msgs/,27,11,6
https://github.com/open-rmf/rmf_visualization/,27,8,23
https://github.com/polymathrobotics/replay_testing/,27,4,3
https://github.com/open-rmf/rmf_task/,26,9,27
https://github.com/ros-misc-utilities/flex_sync/,26,3,3
https://github.com/tier4/heaphook/,25,46,5
https://github.com/ros-visualization/rqt_reconfigure/,25,20,55
https://github.com/ros-navigation/nav2_minimal_turtlebot_simulation/,25,4,22
https://github.com/RoboSense-LiDAR/rslidar_msg/,25,2,52
https://github.com/ros2/rmw_implementation/,24,22,57
https://github.com/ros2/rosidl_python/,24,21,60
https://github.com/fmrico/popf/,24,5,9
https://github.com/ros-industrial/ur_msgs/,24,4,36
https://github.com/kobuki-base/kobuki_velocity_smoother/,23,4,12
https://github.com/ros-planning/srdfdom/,22,23,74
https://github.com/ros-industrial/ros_industrial_cmake_boilerplate/,22,6,17
https://github.com/astuff/avt_vimba_camera/,22,4,44
https://github.com/DLu/simple_actions/,22,1,6
https://github.com/ros-event-camera/frequency_cam/,22,1,5
https://github.com/splintered-reality/py_trees_js/,21,4,4
https://github.com/ros-misc-utilities/apriltag_detector/,21,1,7
https://github.com/open-rmf/rmf_simulation/,20,11,27
https://github.com/pal-robotics/play_motion_builder/,20,6,3
https://github.com/kobuki-base/kobuki_core/,20,5,18
https://github.com/danielcranston/crx_kinematics/,20,1,4
https://github.com/ros2/rosidl_typesupport/,19,25,44
https://github.com/SICKAG/sick_safetyscanners_base/,19,6,36
https://github.com/Simple-Robotics/nanoeigenpy/,19,6,7
https://github.com/PickNikRobotics/snowbot_operating_system/,19,4,3
https://github.com/flynneva/grbl_ros/,19,3,13
https://github.com/astuff/automotive_autonomy_msgs/,19,3,10
https://github.com/pradyum/dual_laser_merger/,19,2,12
https://github.com/ika-rwth-aachen/message_tf_frame_transformer/,19,2,6
https://github.com/THA-Embedded-Systems-Lab/soar_ros/,19,1,7
https://github.com/ros2/ros_testing/,18,20,6
https://github.com/ROBOTIS-GIT/dynamixel-workbench-msgs/,18,10,39
